ID,timeset,LANGUAGE,FAVORITE_C,QUOTE_C,REPLY_C,RETWEET_C,VIEWS_C,full_text
1758849346303369265,2024-02-17T13:42:16+00:00,fr,45,5,20,9,5233,"Avec @SamuelCogolati nous avons présenté notre équipe @ecolobe pour la Chambre à Liège ce matin.Une équipe forte avec la championne de judo @chavansnick, les bourgmestres @jmjavaux et de @niessenclaudia, mais aussi le soutien Muriel Gerkens.#plusvertplusjuste https://t.co/p3w2LfeFGA"
1757398468925005926,2024-02-13T13:37:00+00:00,fr,43,2,19,4,2898,"Fierté, honneur: @ChaVanSnick rejoint les rangs d'Ecolo en province de Liège. Suite logique d’un parcours engagé contre les VSS dans le sport, contre les discriminations et pour la planète. Une ceinture verte contre la marée noire. Bienvenue à nos côtés! @SamuelCogolati @Ecolo https://t.co/OvZuaun0MA"
1755248077462462694,2024-02-07T15:12:07+00:00,fr,24,0,2,3,1284,"Heureuse de l’aboutissement de ce texte. Énorme déception pour le retrait de la définition du viol. La Belgique, à la pointe, a déjà adopté cette définition il y a plus de 2 ans. Je propose une visite de terrain à tous ceux qui doutent. @EmmanuelMacron @GabrielAttal"
1755298415838167495,2024-02-07T18:32:08+00:00,fr,0,0,1,0,23,"@CLTEVX @EmmanuelMacron @GabrielAttal Bonjour, la Belgique a inscrit le non consentement comme fondement du viol dans son code pénal en 2021. Sachez que je préfère vivre dans un pays de guguss que dans un pays qui protège les agresseurs. 👋"
1755255471856902554,2024-02-07T15:41:30+00:00,fr,17,1,3,4,1237,"Chaque année, c’est l’équivalent d’une classe qui est décimée dans ces circonstances en Belgique. Ce sont nos mères, nos voisines, nos sœurs, nos amies. Sans oublier celles qui vivent avec les séquelles d’une tentative de féminicide. Et leurs proches.https://t.co/rfF5wJYwt3"
1755256894438936709,2024-02-07T15:47:09+00:00,fr,3,0,0,0,219,"Rappel: banaliser ces violences, c’est contribuer à les renforcer. J’en appelle à la responsabilité de chacun·e: journalistes, politiques ou blablateurs professionnels."
1752732465385312547,2024-01-31T16:35:58+00:00,fr,0,0,0,55,,RT @Asolim_: Ils disent qu’ils sont du côté des agriculteurs mais… #AgriculteurEnColere https://t.co/SVaJWFGvau
1752605981761032604,2024-01-31T08:13:22+00:00,fr,0,0,0,48,,RT @RajaeMaouane: Je comprends le malaise du MR de Georges-Louis Bouchez : avoir la compétence de l’agriculture sans discontinuer depuis 20…
1752359481390878967,2024-01-30T15:53:52+00:00,fr,7,0,0,1,458,"Le dérèglement climatique et lalutte contre la précarité, en lien avec la crise du logement, au cœur du discours du Roi. Et la paix aussi. #Priorité2024 https://t.co/sqWIrmV2Ob"
1751974922195202322,2024-01-29T14:25:46+00:00,fr,27,1,12,3,1766,"Retrouvez mon interview de rentrée dans @LaMeuse_be !L’occasion de revenir sur les racines de mon engagement – la justice sociale et le #climat – et sur plusieurs gros dossiers prioritaires: #logement, sans-abrisme, #agriculture, sécurité des Liégeois,…https://t.co/dlS2gY5TG9"
1751975539382841758,2024-01-29T14:28:13+00:00,fr,5,0,1,0,215,"Cette année, près de 4 milliards d’électrices et électeurs seront appelés aux urnes.Notre responsabilité en tant que candidats est de saisir ce levier pour renforcer la démocratie, réconcilier citoyens et politique, et mener un débat de société constructif. #Elections2024"
1751975668487692689,2024-01-29T14:28:44+00:00,fr,5,0,1,0,183,"Bien sûr, d’ici au #9juin, je continue de faire bouger les lignes au #Parlement!"
1750900697426518068,2024-01-26T15:17:11+00:00,fr,37,5,15,4,3419,Verdict historique aujourd'hui.  La Cour internationale de justice a demandé à Israël de prendre « toutes les mesures en son pouvoir pour prévenir et punir l’incitation directe et publique à commettre le génocide ».#ChaqueVieCompte #CeaseFireNOW #FreeTheHostages
1750900823389884752,2024-01-26T15:17:41+00:00,fr,4,1,4,0,385,"Maintenant, place à l'action, la Belgique doit défendre avec force un cessez-le-feu immédiat et tout faire pour empêcher le «risque sérieux de génocide » à Gaza. https://t.co/ZjzLEmFbAQ"
1750467825083273238,2024-01-25T10:37:06+00:00,fr,14,3,12,1,2478,Près de 300 dossiers ouverts pour #antisémitisme auprès d’Unia en 4 ans. Les chiffres le montrent: il y a un avant et un après #7octobre. [1/3]https://t.co/oUMnQykyFC
1750467999683748293,2024-01-25T10:37:47+00:00,fr,3,0,3,0,309,"Ce rapport tire à nouveau la sonnette d’alarme : il faut s'attaquer à l'antisémitisme, qui gâche la vie de nombreuses personnes dans notre société. [2/3]"
1750468499347046843,2024-01-25T10:39:47+00:00,fr,3,1,2,0,378,"Dès le début de mon mandat, j’ai agi pour le renforcement des dispositifs de lutte contre l’antisémitisme en lançant le mécanisme de coordination. Je ne peux donc que rejoindre la première recommandation d’Unia: investir durablement dans cet outil. J'y veillerai. [3/3]"
1747941474245722126,2024-01-18T11:18:17+00:00,fr,55,3,12,3,7213,"C’est avec joie que je vous annonce que je serai candidate sur la liste @Vert_Ardent aux élections communales de Liège, le 13 octobre prochain.Du niveau global au niveau local, nous avons besoin d’actions fortes pour répondre à l’urgence climatique et sociale. [1/5]"
1747941789703553339,2024-01-18T11:19:32+00:00,fr,7,2,1,1,1278,"Pour moi, #Liège mérite une vraie ambition citoyenne, féministe, écologiste et solidaire. #Liège doit devenir une ville où toutes les femmes se sentent en sécurité, y compris la nuit. #Elections2024 [2/5]"
1747942161591435538,2024-01-18T11:21:01+00:00,fr,5,0,1,1,601,"#Liège doit devenir une ville où l’on respire mieux : pour cela, il faut poursuivre et amplifier les efforts pour donner davantage de place aux vélos, aux piétons et aux transports en commun. #Elections2024 [3/5]"
1747942473672822814,2024-01-18T11:22:15+00:00,fr,5,0,1,1,563,"En tirant les bonnes leçons du passé, #Liège doit aussi devenir ville où l’on gère collectivement, et non individuellement, les sinistres climatiques. #Elections2024 [4/5]"
1747943083012932072,2024-01-18T11:24:40+00:00,fr,6,0,1,1,687,Je suis convaincue que notre mouvement peut transformer la Cité ardente : c’est pourquoi je mets mon énergie et mon expérience au service de @Vert_Ardent ! [5/5]
1747943445023338746,2024-01-18T11:26:07+00:00,fr,6,0,0,0,529,@Vert_Ardent Retrouvez l’article @LaMeuse_be annonçant ma candidature ici: https://t.co/KGWIJNo4LT
1759855838313734437,2024-02-20T08:21:43+00:00,nl,2,0,6,0,914,@jbaert Tragisch ongeval inderdaad. Deze vrouw wandelde blijkbaar op de voetgangersstrook. Het onderzoek zal moeten uitwijzen waarom de bus haar dan toch heeft aangereden.
1759856297468465267,2024-02-20T08:23:32+00:00,nl,0,0,1,0,165,@LiesWeder @jbaert Deze vrouw wandelde op de voetgangersstrook aan de halte. Dat heeft dus niks te maken met ‘leg er een zebrapad’. Laat het onderzoek en verkeersdeskundigen de juiste conclusies trekken aub.
1759849815377051777,2024-02-20T07:57:47+00:00,nl,0,0,0,18,,RT @FlDidden: Geen grote verrassing. Zeven jaar aan het hoofd van Frontex. Pushbacks werden in de doofpot gestopt. Ngo's verdacht gemaakt e…
1759658489813614978,2024-02-19T19:17:31+00:00,qme,1,0,0,0,116,@Zwarte_Magica 😂
1758470310318207234,2024-02-16T12:36:07+00:00,nl,0,0,0,335,,RT @F__Timmermans: Het totalitaire regime van Putin maakt weer een slachtoffer. Aleksej Navalny overleeft de goelag niet. Moed en onverzett…
1757508414148608293,2024-02-13T20:53:53+00:00,nl,0,0,0,0,930,"@MartensEveline @groen Wauw, zo tof!"
1755674942891298899,2024-02-08T19:28:19+00:00,nl,0,0,0,61,,"RT @MachteldVerbru1: @LydiaPeeters op radio, zegt dat als er niet genoeg geld voorzien is voor subsidie elektrische wagens, extra geld kan…"
1755674803472671074,2024-02-08T19:27:46+00:00,nl,0,0,0,4,,RT @pdsutter: Onze aanpassing aan de postwet werd zonet gestemd in de Kamer!@BIPT_IBPT kan spelers op de pakjesmarkt voortaan opleggen om…
1755630335302230390,2024-02-08T16:31:04+00:00,nl,0,0,2,0,134,@KarenLiesens @Pensioenspook Het zou je sieren als je nu ook zou reageren op het artikel dat @Pensioenspook heeft gedeeld met jou. En dat je ook toegeeft dat je je vergist hebt om dit aan te grijpen om groen proberen belachelijk te maken.
1755631779224907872,2024-02-08T16:36:48+00:00,nl,2,0,1,0,78,@KarenLiesens @Pensioenspook Oh nu moet je al beginnen schelden. T is proper.
1755636805011968201,2024-02-08T16:56:47+00:00,nl,0,0,2,0,70,@CoosemansTommy @KarenLiesens @Pensioenspook Ik voel me helemaal niet aangesproken. Bijzonder haar reactie wel.
1755631453616971992,2024-02-08T16:35:31+00:00,nl,0,0,2,0,69,@KarenLiesens @Pensioenspook Flauw antwoord. Serieus echt flauw. Maar i take note en zal zeker volgende keer antwoorden als je me een vraag stelt 😉
1755603613169434912,2024-02-08T14:44:53+00:00,nl,0,0,0,13,,RT @groen: "Pesticiden doden bijen en andere noodzakelijke bestuivers. Pesticiden verzieken bodem en onze gezondheid. En Von der Leyen besl…
1754775263081103711,2024-02-06T07:53:19+00:00,en,0,0,0,50,,"RT @UNGeneva: The conflict in Yemen has been ongoing for over 9 years, resulting in a dire situation for the population.🔺18.2 Mln people…"
1754774620039680292,2024-02-06T07:50:46+00:00,nl,0,0,0,23,,"RT @miekeschauv: Europese trein zegt al jaren hetzelfde.  Klimaatneutraliteit tegen 2050. En ja, Europa rijdt verder. Want de klimaatverand…"
1754572485175992396,2024-02-05T18:27:33+00:00,nl,0,0,0,2,,"RT @SteVaBu: Burgers en middenveld debatteren in @vlaparl 2,5 uur met @maximveys @RobrechtB @PlatteauEva @OnnoVandewalle en Elisabet Okmen…"
1754487406080729162,2024-02-05T12:49:29+00:00,nl,39,6,115,5,5059,Ons programma voor de verkiezingen is klaar. Vol strijdlust zullen we onze standpunten aan de kiezer voorstellen. Het is helder waar Groen voor staat:Eerlijk klimaatbeleid dat iedereen meeneemt Eerlijke kansen voor iedereenGoede betaalbare zorg voor iedereenEnkel met Groen https://t.co/J2aObNg1gG
1753745036951302427,2024-02-03T11:39:34+00:00,nl,0,0,0,109,,RT @KrikkeBozzy: Blijkbaar zijn #mensenrechten linkse propaganda. Niet mijn mening maar de mening van de kleine nazi’s van @vlbelang jonger…
1753402169288479152,2024-02-02T12:57:08+00:00,fr,0,0,0,40,,"RT @SimonMoutquin: Oui, on peut convoquer l'ambassadrice israélienne pour ça. Et on peut aussi l'expulser pour :- La destruction de 70 % d…"
1753166004450930838,2024-02-01T21:18:42+00:00,en,0,0,0,12736,,RT @antonioguterres: Everyone in Gaza is hungry.1.7 million people have been displaced.The humanitarian system in collapsing.I call f…
1745107813829902378,2024-01-10T15:38:20+00:00,nl,61,18,123,10,24051,"In de toekomst zal de Kamer ook burgerberaden kunnen organiseren. Reglementair kader krijgt groen licht. Die mogelijkheid in een nationaal parlement is uniek, een belangrijke stap inzake democratische vernieuwing. @GuillaumeDef @GillesVdBurre https://t.co/LwNoIQiUcu https://t.co/KFIZwZFtGb"
1745109212810596431,2024-01-10T15:43:53+00:00,fr,19,4,10,4,2305,Les commissions mixtes et les panels citoyens maintenant possibles au Parlement fédéral. Une ouverture démocratique inédite à ce niveau qui peut participer à retrouver la confiance entre la population et le monde politique. @kristofcalvo https://t.co/NwaAW9YO4n https://t.co/SsTFPQv0fK
1745354367559938400,2024-01-11T07:58:02+00:00,fr,0,0,1,0,16,"@pmcg_t @kristofcalvo C'est aussi ça qui est super. Les citoyens et citoyennes tiré.e.s au sort peuvent toujours refuser de participer. Si ça vous arrive, eh bien, ne répondez pas. Bonne journée."
1745107706510254208,2024-01-10T15:37:54+00:00,fr,144,6,28,38,8995,"C'est voté en commission, la Belgique ne va plus enfermer des enfants ! Grâce à @Ecolo et l’immense mobilisation de la société civile, l'interdiction de la détention d'enfants en centre fermé est ancrée dans la loi.Nous sommes le deuxième pays en Europe à le faire. https://t.co/nuTVzMaxLp"
1745107708443803801,2024-01-10T15:37:54+00:00,fr,7,0,1,1,359,"Pendant des années, la Belgique enfermait des enfants exilés malgré l'opposition du Conseil de l’Europe, du Comité des droits de l’enfant ou encore des ONG.Pour Ecolo c'est clair : tous les enfants ont le droit de vivre dignement, et ce indépendamment de leur statut migratoire."
1745107711002292321,2024-01-10T15:37:55+00:00,fr,4,0,2,1,352,"Enfermer un enfant a un impact désastreux sur lui et sa santé.Les études le montrent, même un court enfermement favorise chez les enfants les troubles psychologiques comme la dépression ou l'anxiété, mais aussi le suicide et les automutilations. C'est juste cruel."
1745107713250431006,2024-01-10T15:37:56+00:00,fr,3,0,1,0,512,"Cela contribue à traiter l’enfant dès son plus jeune âge comme un délinquant, alors que son seul “délit” est de ne pas être en ordre de titre de séjour. Ça mène à une exclusion et une stigmatisation qui, comme les séquelles psychologiques, auront des traces toute sa vie."
1745107715892957620,2024-01-10T15:37:56+00:00,fr,5,0,0,0,469,"Heureusement, ces pratiques inhumaines appartiennent aujourd’hui au passé.Mais tout n'est pas terminé. Nous devons continuer à nous battre pour qu'enfin la Belgique mène une politique d'accueil juste et humaine et que toutes les personnes exilées soient accueillies dignement."
1745514701214109730,2024-01-11T18:35:09+00:00,qme,0,0,0,0,48,@LucLaenen00 https://t.co/mjL2kXWJRL
1745120994904125866,2024-01-10T16:30:42+00:00,fr,2,0,3,0,277,@super_sophiee @Ecolo Un mineur = en dessous de 18 ans
1745121042039787606,2024-01-10T16:30:53+00:00,fr,2,0,3,0,261,@Thib3107 @Ecolo Non plus … surtout pas .
1732833801397547062,2023-12-07T18:45:47+00:00,fr,116,17,51,45,16036,Un président de parti et des députés invités tous frais payés au Maroc qui se mettent à relayer la propagande marocaine sur le Sahara occidental ou qui réalisent des documentaires de propagande financés par le Maroc. Il est temps que la sûreté de l'Etat s'intéresse à ce sujet. https://t.co/VcZngVkwqE
1730519582257934805,2023-12-01T09:29:54+00:00,fr,3,0,0,0,78,Deux poids deux mesures ?
