ID,LABEL,FAVORITES,FOLLOWERS,MEDIA,FRIENDS,LISTED,STATUSES,N_FOLLOWERS,LOCATION
487325531,Sarah Schlitz,1901,6116,171,1055,113,935,6116,Liège
1322188861724909568,Eva Platteau,9020,1123,46,459,19,1148,1123,Leuven
222893593,Kristof Calvo,6917,57694,1314,2791,420,19463,57694,"Mechelen, België"
40726251,Guillaume Defossé,2646,1559,119,856,50,7831,1559,Bruxelles
2359526718,Simon Moutquin,1608,2900,147,704,47,1839,2900,"Ottignies-Louvain-la-Neuve, Be"
1448555214714413061,Olivier Vajda,315,93,1,165,6,154,93,Belgium
1192783021965021184,Séverine de Laveleye,5145,1329,55,365,42,1230,1329,
470460837,Louis Mariage,1913,230,21,300,4,289,230,"Tournai, Belgique"
3086239053,Samuel Cogolati,20447,6039,429,6312,79,3807,6039,"Huy, Belgique"
716071032,Claire Hugon,5862,1217,147,686,33,1737,1217,"Bruxelles, Belgique"
1449828837177626628,Chanson julie,134,4,0,16,0,43,4,
144519396,Wouter De Vriendt,5699,16195,783,1108,244,8214,16195,"Oostende, België"
724518816584183808,Albert Vicaire,207,69,3,111,17,64,69,"Seneffe, hainaut, wallonie, belgique"
1376532429821841411,Cécile Cornet,41,450,5,271,19,60,450,
1450879699,dieter van besien,6764,1390,149,1390,39,1364,1390,Haacht
1535959693,Stefaan Vanhecke,0,10,0,9,0,2,10,
1085994108,Kim Buyst,12482,1649,260,1337,42,5271,1649,"Ravels, België"
64506745,Gilles Vanden Burre,17953,5507,382,3466,200,13503,5507,Brussels - Belgium
1365173000,Laurence Hennuy,976,398,6,235,25,229,398,BE
