ID,cluster,full_text,FAVORITE_C,QUOTE_C,REPLY_C,RETWEET_C,VIEWS_C
1759271000850501861,9,Schokkende beelden: “UNRWA-medewerker neemt lichaam van vermoorde Israëliër mee in voertuig tijdens Hamas-aanval op kibboets” https://t.co/4VLAFuTKVz,93,3,19,30,8025.0
1759189343275466980,1,"Vierdaagse werkweek van 32 uur, jongeren meer tijd thuis met de kinderen, vanaf 55 jaar 3 extra vrije dagen per week om het te kunnen volhouden.. en de rekening ? On verra bien ! Tijd voor confederalisme!",445,8,109,80,34771.0
1758740358400274623,9,"UNWRA:Minstens 30 medewerkers zouden volgens Israël betrokken zijn bij terroristische aanval op 7/10/23.185 Zouden linken met gewapende tak Hamas hebben, 51 met Islamitische Jihad.Wanneer handelt @carogennez ?https://t.co/AsycYv2pyW",251,8,63,88,14767.0
1758469657986564350,1,"1048 Jongeren tussen 18 en 24 jaar werden er in 2021 in gedwongen opnames geplaatst. Dat zijn er 35% meer dan in het jaar 2017.Inzetten op preventie, meer ambulante zorg en meer zorgverstrekkers gespecialiseerd in geestelijke gezondheidszorg is dringend! https://t.co/Fd2eSoHRyZ",31,2,10,5,1541.0
1757657344710787269,9,RT @MichaelFreilich: Dringend strenger optreden actie nodig van onze regering:🚨Terreurgroep #Hamas actief in België met fondsenwerving en…,0,0,0,163,
1756609005932154982,11,"RT @louis_ide: Terwijl de Vlaamse mainstream media niets berichten over de @aktweetsbe enquête, doet Le Soir dat (uitgebreid) wel! We leven…",0,0,0,38,
1756260929832943945,0,"✅46 % van de artsen spreekt steun uit voor @de_NVA en haar hervormingsplannen in de gezondheidszorg✅36 % geeft Vandenbroucke 0/10✅2,7/10 als gemiddelde score voor VDB!✅N-VA is het enige alternatief voor hervorming waarbij artsen meer medezeggenschap krijgen in het beleid https://t.co/QZvHir2vA1",218,5,43,45,11968.0
1755926762599469116,12,Werd nog een ander bedrijf gebeld dan Movianto in kader van het miljoenen contract voor de verdeling van de COVID vaccins? Minister Vandenbroucke weigert te antwoorden.. #vaccingate https://t.co/xwOI8dVnbf,379,4,36,98,10089.0
1755917834557837717,0,"RT @louis_ide: Voor wat een peiling waard is, toch doet de @aktweetsbe peiling deugd! 46% van de artsen steunt @de_NVA! Verder blijkt het v…",0,0,0,21,
1755859525855326441,0,"2,7/10  vr minister Vandenbroucke in @aktweetsbe 🧪eigengereid en professoraal🌡️gebrek aan transparantie en overleg 💉ingrepen die neigen naar staatsgeneeskunde🩹geflopte hervormingenArtsen willen consistente hervorming en vrijwaring vrij beroep @de_NVA is het alternatief! https://t.co/vH494aQBNg",122,3,15,23,3743.0
1755288075897311433,1,Wie gelooft die man nog ? 🤦‍♀️,171,3,33,31,8291.0
