name	auc	top20	accuracy	precision	recall
LR  	0.9167659275548227	3.264576	0.9217046580773043	0.7569444444444444	0.7124183006535948
LRW 	0.9218587746625129	3.1612209999999994	0.9137760158572844	0.6793478260869565	0.8169934640522876
RF  	0.9213090220511879	2.825699	0.9147670961347869	0.7375886524822695	0.6797385620915033
RFW 	0.9299561725001527	2.4556310000000003	0.9137760158572844	0.7661290322580645	0.6209150326797386
DT  	0.7729636247022174	1.8832010000000001	0.88800792864222	0.636986301369863	0.6078431372549019
DTW 	0.7696956508460081	1.7032370000000001	0.8870168483647175	0.6344827586206897	0.6013071895424836
GB  	0.9339838739234011	2.691782	0.9147670961347869	0.7310344827586207	0.6928104575163399
XGB 	0.9395959318306762	2.139042	0.9098116947472745	0.7313432835820896	0.6405228758169934
XGBW	0.9362286970863111	2.219334	0.9207135777998018	0.732484076433121	0.7516339869281046
GNB	0.9026632459837517	3.643283	0.8929633300297324	0.6415094339622641	0.6666666666666666
CNNs	0.8930616639179036	2.464638	0.9068384539147671	0.672514619883041	0.7516339869281046
SVM	0.9163765194551341	2.5062550000000003	0.9157581764122894	0.7463768115942029	0.673202614379085
catboost	0.9441390263270416	2.307715	0.9306243805748265	0.782312925170068	0.7516339869281046
Stacking	0.9382100971229613	2.636659	0.9276511397423192	0.717391304347826	0.8627450980392157
